Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
60,60,6,6,55,55,1,Train/1/00001_00071_00020.png
36,36,5,5,31,31,10,Train/10/00010_00012_00011.png
32,32,6,6,27,26,5,Train/5/00005_00020_00013.png
169,124,15,10,155,114,13,Train/13/00013_00032_00028.png
37,35,6,5,32,30,32,Train/32/00032_00001_00017.png
47,48,6,5,42,43,12,Train/12/00012_00057_00019.png
56,53,5,5,51,48,28,Train/28/00028_00012_00021.png
40,45,5,6,34,39,6,Train/6/00006_00007_00028.png
33,31,6,5,28,26,2,Train/2/00002_00058_00015.png
84,79,8,7,77,72,4,Train/4/00004_00024_00028.png
93,92,8,9,85,84,38,Train/38/00038_00051_00028.png
71,64,6,6,64,59,11,Test/03466.png
100,96,8,8,92,88,5,Test/03293.png
69,70,6,6,62,63,17,Train/17/00017_00027_00025.png
70,67,7,6,64,61,2,Train/2/00002_00037_00028.png
61,61,6,6,56,56,35,Train/35/00035_00010_00020.png
37,36,5,5,32,31,28,Train/28/00028_00014_00002.png
49,55,5,6,44,49,15,Train/15/00015_00012_00028.png
29,43,6,5,24,38,15,Test/10178.png
34,34,6,6,29,29,5,Test/09757.png
28,28,6,5,23,22,5,Train/5/00005_00035_00002.png
111,94,10,8,102,86,13,Train/13/00013_00024_00025.png
147,133,13,12,135,122,13,Train/13/00013_00015_00029.png
69,64,6,5,63,59,40,Train/40/00040_00003_00021.png
111,110,10,9,102,101,22,Train/22/00022_00002_00027.png
32,32,6,6,27,27,5,Test/02529.png
44,42,6,5,38,36,34,Test/08833.png
49,48,5,6,44,43,13,Test/05590.png
36,34,6,5,31,28,13,Train/13/00013_00029_00010.png
37,36,6,5,31,31,38,Train/38/00038_00053_00016.png
53,48,6,6,47,43,13,Train/13/00013_00003_00013.png
31,31,5,5,26,26,10,Test/12157.png
27,28,6,6,21,23,13,Train/13/00013_00050_00004.png
99,92,8,8,90,84,25,Train/25/00025_00033_00028.png
52,53,5,6,47,48,1,Train/1/00001_00032_00018.png
81,74,8,7,74,67,11,Train/11/00011_00029_00018.png
36,37,5,6,31,32,7,Train/7/00007_00039_00013.png
33,31,6,6,28,26,4,Train/4/00004_00055_00001.png
46,51,6,6,40,45,15,Train/15/00015_00012_00024.png
31,29,6,5,26,24,4,Test/04673.png
46,46,6,6,41,41,10,Train/10/00010_00019_00016.png
39,39,6,6,34,34,10,Train/10/00010_00012_00014.png
45,47,6,5,40,41,12,Train/12/00012_00057_00009.png
38,42,5,6,33,37,4,Train/4/00004_00056_00017.png
37,37,6,6,32,32,10,Train/10/00010_00054_00009.png
45,44,5,6,40,39,22,Train/22/00022_00011_00014.png
45,40,6,5,40,35,13,Train/13/00013_00016_00009.png
98,89,8,8,90,82,11,Train/11/00011_00029_00023.png
32,32,5,5,27,27,5,Train/5/00005_00021_00005.png
48,49,6,6,43,44,7,Train/7/00007_00035_00022.png
54,56,5,6,49,51,35,Test/06562.png
44,41,5,6,39,36,28,Train/28/00028_00003_00012.png
85,91,8,8,78,83,35,Train/35/00035_00000_00025.png
36,37,6,6,31,32,1,Train/1/00001_00004_00019.png
61,49,6,6,55,44,10,Test/10959.png
33,34,6,5,28,29,10,Train/10/00010_00027_00009.png
35,36,5,5,30,30,2,Train/2/00002_00062_00004.png
39,40,5,5,34,35,3,Train/3/00003_00022_00017.png
59,61,6,6,54,56,9,Test/02564.png
