epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,377.13,0.73987,2.80694,1.17579,0.58011,0.63856,0.65745,0.54727,0.66361,0.96371,1.22197,0.00998047,0.00332682,0.00998047,0.00332682,0.00998047,0.00332682,0.00998047,0.00332682
2,742.142,0.6297,1.26717,1.08627,0.69772,0.66395,0.71764,0.59645,0.72908,1.21311,1.28792,0.0197809,0.00659362,0.0197809,0.00659362,0.0197809,0.00659362,0.0197809,0.00659362
3,1110.46,0.63822,1.13777,1.08649,0.7339,0.67483,0.73223,0.56172,0.86857,1.23597,1.492,0.0293815,0.00979382,0.0293815,0.00979382,0.0293815,0.00979382,0.0293815,0.00979382
4,1476.73,0.60139,0.98751,1.06925,0.83943,0.90816,0.91355,0.83209,0.44722,0.45478,1.0062,0.0291009,0.0097003,0.0291009,0.0097003,0.0291009,0.0097003,0.0291009,0.0097003
5,1848.05,0.54558,0.84194,1.04004,0.85064,0.95895,0.91631,0.83102,0.45272,0.37123,0.99287,0.0288012,0.0096004,0.0288012,0.0096004,0.0288012,0.0096004,0.0288012,0.0096004
6,2219.51,0.51516,0.77057,1.02682,0.89938,0.95623,0.92084,0.84499,0.41484,0.30297,0.97366,0.0285015,0.0095005,0.0285015,0.0095005,0.0285015,0.0095005,0.0285015,0.0095005
7,2587.52,0.49498,0.73451,1.0188,0.9071,0.91019,0.92312,0.8562,0.39326,0.33094,0.95487,0.0282018,0.0094006,0.0282018,0.0094006,0.0282018,0.0094006,0.0282018,0.0094006
8,2960.23,0.47737,0.70792,1.01175,0.86227,0.962,0.93151,0.87657,0.36609,0.28144,0.9303,0.0279021,0.0093007,0.0279021,0.0093007,0.0279021,0.0093007,0.0279021,0.0093007
9,3328.48,0.46255,0.68177,1.00321,0.91662,0.97001,0.94142,0.88281,0.35709,0.24603,0.91737,0.0276024,0.0092008,0.0276024,0.0092008,0.0276024,0.0092008,0.0276024,0.0092008
10,3701.97,0.4534,0.66484,1.0018,0.90384,0.97974,0.94604,0.8972,0.33941,0.22625,0.91964,0.0273027,0.0091009,0.0273027,0.0091009,0.0273027,0.0091009,0.0273027,0.0091009
